18-12-12 09:43:09 218  The Program is to begin running VER3.5   20151125
18-12-12 09:43:46 156  VIN:L6T7722Z7JN109983
18-12-12 09:43:46 312  SEND:$0A,$01,$01,$F4,$02,$03,$03,$6E,$00,$04,$00,$00,$05,$1E,$05,$05,$1E,$0B,$00,$00,$07,$E4,$0C,$00,$00,$07,$EC,$0D,$00,$7F,$FF,$FF,$0F,$00,$00,$10,$00,$00,
18-12-12 09:43:46 375  RECV:
18-12-12 09:43:46 375  SEND:$10,$01,
18-12-12 09:43:46 437  RECV:$50,$01,$00,$32,$00,$C8,
18-12-12 09:43:46 484  SEND:$3E,$00,
18-12-12 09:43:46 546  RECV:$7E,$00,
18-12-12 09:43:46 593  SEND:$22,$F1,$87,
18-12-12 09:43:46 718  RECV:$62,$F1,$87,$30,$31,$34,$32,$35,$35,$36,$32,
18-12-12 09:43:46 765  SEND:$22,$F1,$8A,
18-12-12 09:43:46 828  RECV:$62,$F1,$8A,$00,$21,$00,$01,
18-12-12 09:43:46 828  SEND:$0A,$01,$01,$F4,$02,$03,$03,$6E,$00,$04,$00,$00,$05,$06,$05,$05,$05,$0B,$00,$00,$07,$E4,$0C,$00,$00,$07,$EC,$0D,$00,$7F,$FF,$FF,$0F,$00,$00,$10,$00,$00,
18-12-12 09:43:46 890  RECV:
18-12-12 09:43:46 890  SEND:$10,$03,
18-12-12 09:43:46 953  RECV:$7F,$10,$78,
18-12-12 09:43:47 015  RECV:$50,$03,$00,$32,$00,$C8,
18-12-12 09:43:47 062  SEND:$3E,$00,
18-12-12 09:43:47 125  RECV:$7E,$00,
18-12-12 09:43:47 171  SEND:$27,$01,
18-12-12 09:43:47 234  RECV:$67,$01,$D8,$80,$FC,$0A,
18-12-12 09:43:47 281  SEND:$27,$02,$F0,$12,$BD,$95,
18-12-12 09:43:47 343  RECV:$67,$02,
18-12-12 09:43:47 390  SEND:$14,$FF,$FF,$FF,
18-12-12 09:43:47 453  RECV:$7F,$14,$78,
18-12-12 09:43:48 312  RECV:$54,
18-12-12 09:43:48 359  SEND:$2E,$F1,$10,$00,$80,$D9,$01,
18-12-12 09:43:48 421  RECV:$6E,$F1,$10,
18-12-12 09:43:48 468  SEND:$31,$01,$F0,$01,
18-12-12 09:43:48 531  RECV:$71,$01,$F0,$01,
18-12-12 09:43:48 578  SEND:$31,$03,$F0,$01,
18-12-12 09:43:48 640  RECV:$71,$03,$F0,$01,$02,
18-12-12 09:43:48 687  SEND:$31,$01,$F0,$02,
18-12-12 09:43:48 750  RECV:$71,$01,$F0,$02,
18-12-12 09:43:48 796  SEND:$31,$03,$F0,$02,
18-12-12 09:43:48 859  RECV:$71,$03,$F0,$02,$02,
18-12-12 09:43:48 906  SEND:$31,$01,$F0,$03,
18-12-12 09:43:48 968  RECV:$71,$01,$F0,$03,
18-12-12 09:43:49 015  SEND:$31,$03,$F0,$03,
18-12-12 09:43:49 078  RECV:$71,$03,$F0,$03,$02,
